code,code_type,short_description,long_description
I10-411,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
710205,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
930000,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
E11.9-5796,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
N39.0-232,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
850257,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
992147,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
M54.5-118,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
453785,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
364157,CPT,venipuncture,venipuncture documented during patient clinical encounter
A41.9-1680,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
J18.9-2245,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
R07.9-959,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
E11.9-13,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
C34.90-3311,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
I10-2354,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
930000,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
C34.90-5090,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
Z00.00-2366,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
992130,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
R07.9-1283,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
850259,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
992147,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
R07.9-4354,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
E11.9-2256,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
364153,CPT,venipuncture,venipuncture documented during patient clinical encounter
Z00.00-5020,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
850254,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
I10-2717,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
N39.0-390,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
E11.9-2574,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
930007,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
992135,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
930101,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
810010,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
J18.9-4920,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
M54.5-1887,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
800535,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
M54.5-1496,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
850256,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
930109,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
C34.90-2830,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
N39.0-1211,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
364158,CPT,venipuncture,venipuncture documented during patient clinical encounter
Z00.00-4428,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
I10-819,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
N39.0-3957,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
C34.90-492,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
R07.9-892,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
930000,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
J18.9-2246,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
A41.9-2334,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
Z00.00-4857,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
710203,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
N39.0-5223,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
810015,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
R07.9-2296,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
M54.5-404,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
710201,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
992134,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
930109,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
992137,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
E11.9-4879,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
J18.9-4172,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
A41.9-4830,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
Z00.00-2652,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
930103,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
800530,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
810011,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
E11.9-1198,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
E11.9-925,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
800533,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
N39.0-4999,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
E11.9-3853,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
C34.90-4292,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
K21.9-634,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
930107,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
364152,CPT,venipuncture,venipuncture documented during patient clinical encounter
N39.0-1764,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
E11.9-935,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
M54.5-2223,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
E11.9-5773,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
N39.0-1119,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
I10-5975,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
992149,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
Z00.00-3195,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
E11.9-0,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
930102,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
Z00.00-2627,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
800533,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
Z00.00-4319,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
K21.9-1545,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
C34.90-1741,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
850255,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
992136,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
K21.9-4066,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
850257,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
C34.90-4910,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
E11.9-4416,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
A41.9-4136,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
850253,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
J18.9-1017,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
J18.9-555,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
R07.9-2531,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
930108,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
E11.9-4603,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
710200,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
364150,CPT,venipuncture,venipuncture documented during patient clinical encounter
J18.9-5955,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
I10-5993,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
992142,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
E11.9-1913,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
M54.5-1113,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
364153,CPT,venipuncture,venipuncture documented during patient clinical encounter
M54.5-2848,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
710205,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
364152,CPT,venipuncture,venipuncture documented during patient clinical encounter
710203,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
710209,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
E11.9-1574,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
810015,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
800536,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
850259,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
992134,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
930100,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
J18.9-5505,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
E11.9-1492,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
992140,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
M54.5-2920,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
N39.0-5847,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
K21.9-1817,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
992149,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
710206,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
992139,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
850256,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
M54.5-2664,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
Z00.00-4953,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
K21.9-79,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
A41.9-3495,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
E11.9-2230,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
I10-2947,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
J18.9-20,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
Z00.00-3335,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
Z00.00-237,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
992140,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
850254,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
453789,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
M54.5-2723,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
M54.5-22,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
810013,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
I10-511,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
R07.9-3806,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
M54.5-1479,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
R07.9-1094,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
992149,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
J18.9-2468,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
A41.9-4555,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
Z00.00-4158,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
K21.9-2508,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
364150,CPT,venipuncture,venipuncture documented during patient clinical encounter
A41.9-3220,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
453788,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
992142,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
992149,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
800534,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
K21.9-4725,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
710206,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
N39.0-3067,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
710209,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
800538,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
810016,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
R07.9-94,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
R07.9-2146,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
850259,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
710201,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
J18.9-5103,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
992133,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
850257,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
850252,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
N39.0-660,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
K21.9-5061,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
A41.9-362,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
C34.90-4432,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
C34.90-106,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
Z00.00-2140,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
850252,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
K21.9-2157,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
992146,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
Z00.00-3255,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
N39.0-4377,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
I10-1967,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
R07.9-4957,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
N39.0-493,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
Z00.00-4224,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
