code,short_description,long_description,category
99245,office consultation highest complexity,office or other outpatient consultation for a new or established patient requiring highest complexity medical decision making typically 80 minutes,Evaluation and Management
99251,inpatient consultation straightforward,inpatient or observation consultation for a new or established patient requiring straightforward medical decision making,Evaluation and Management
99252,inpatient consultation low complexity,inpatient or observation consultation for a new or established patient requiring low complexity medical decision making,Evaluation and Management
99253,inpatient consultation moderate complexity,inpatient or observation consultation for a new or established patient requiring moderate complexity medical decision making,Evaluation and Management
99254,inpatient consultation high complexity,inpatient or observation consultation for a new or established patient requiring high complexity medical decision making,Evaluation and Management
99255,inpatient consultation highest complexity,inpatient or observation consultation for a new or established patient requiring highest complexity medical decision making,Evaluation and Management
99281,emergency department visit straightforward,emergency department visit for evaluation and management of a patient requiring straightforward medical decision making,Evaluation and Management
99282,emergency department visit low complexity,emergency department visit for evaluation and management of a patient requiring low complexity medical decision making,Evaluation and Management
99283,emergency department visit moderate complexity,emergency department visit for evaluation and management of a patient requiring moderate complexity medical decision making,Evaluation and Management
99284,emergency department visit high complexity,emergency department visit for evaluation and management of a patient requiring high complexity medical decision making,Evaluation and Management
99285,emergency department visit highest complexity,emergency department visit for evaluation and management of a patient requiring high complexity medical decision making with life threatening conditions,Evaluation and Management
99291,critical care first 30 to 74 minutes,critical care evaluation and management of a critically ill or injured patient first 30 to 74 minutes requiring constant bedside attention,Evaluation and Management
99292,critical care each additional 30 minutes,critical care evaluation and management of a critically ill or injured patient each additional 30 minutes beyond the first period,Evaluation and Management
99304,nursing facility initial care low complexity,initial nursing facility care per day for evaluation and management of a patient requiring straightforward or low complexity decision making,Evaluation and Management
99305,nursing facility initial care moderate complexity,initial nursing facility care per day for evaluation and management of a patient requiring moderate complexity medical decision making,Evaluation and Management
99306,nursing facility initial care high complexity,initial nursing facility care per day for evaluation and management of a patient requiring high complexity medical decision making,Evaluation and Management
99307,nursing facility subsequent care straightforward,subsequent nursing facility care per day requiring straightforward medical decision making for stable patient,Evaluation and Management
99308,nursing facility subsequent care low complexity,subsequent nursing facility care per day requiring low complexity medical decision making for patient with minor complications,Evaluation and Management
99309,nursing facility subsequent care moderate complexity,subsequent nursing facility care per day requiring moderate complexity medical decision making for patient with new problems,Evaluation and Management
99310,nursing facility subsequent care high complexity,subsequent nursing facility care per day requiring high complexity medical decision making for patient with significant complications,Evaluation and Management
99341,home visit new patient low complexity,home or residence visit for evaluation and management of a new patient requiring straightforward medical decision making,Evaluation and Management
99342,home visit new patient moderate complexity,home or residence visit for evaluation and management of a new patient requiring moderate complexity medical decision making,Evaluation and Management
99343,home visit new patient high complexity,home or residence visit for evaluation and management of a new patient requiring high complexity medical decision making,Evaluation and Management
99347,home visit established patient straightforward,home or residence visit for evaluation and management of an established patient requiring straightforward medical decision making,Evaluation and Management
99348,home visit established patient low complexity,home or residence visit for evaluation and management of an established patient requiring low complexity medical decision making,Evaluation and Management
99349,home visit established patient moderate complexity,home or residence visit for evaluation and management of an established patient requiring moderate complexity medical decision making,Evaluation and Management
99350,home visit established patient high complexity,home or residence visit for evaluation and management of an established patient requiring high complexity medical decision making,Evaluation and Management
99354,prolonged service office outpatient first hour,prolonged evaluation and management service in office or outpatient setting requiring direct patient contact beyond typical time first hour,Evaluation and Management
99355,prolonged service office outpatient each additional 30 minutes,prolonged evaluation and management service in office or outpatient setting each additional 30 minutes beyond first hour,Evaluation and Management
99356,prolonged service inpatient first hour,prolonged evaluation and management service in inpatient or observation setting requiring direct patient contact first hour,Evaluation and Management
99381,preventive visit new patient infant,initial comprehensive preventive medicine evaluation and management of new patient infant age younger than 1 year,Evaluation and Management
99382,preventive visit new patient age 1 to 4,initial comprehensive preventive medicine evaluation and management of new patient early childhood age 1 through 4 years,Evaluation and Management
99383,preventive visit new patient age 5 to 11,initial comprehensive preventive medicine evaluation and management of new patient late childhood age 5 through 11 years,Evaluation and Management
99384,preventive visit new patient age 12 to 17,initial comprehensive preventive medicine evaluation and management of new patient adolescent age 12 through 17 years,Evaluation and Management
99385,preventive visit new patient age 18 to 39,initial comprehensive preventive medicine evaluation and management of new patient age 18 through 39 years,Evaluation and Management
99386,preventive visit new patient age 40 to 64,initial comprehensive preventive medicine evaluation and management of new patient age 40 through 64 years,Evaluation and Management
99387,preventive visit new patient age 65 and older,initial comprehensive preventive medicine evaluation and management of new patient age 65 years and older,Evaluation and Management
99391,preventive visit established patient infant,periodic comprehensive preventive medicine evaluation and management of established patient infant age younger than 1 year,Evaluation and Management
99392,preventive visit established patient age 1 to 4,periodic comprehensive preventive medicine evaluation and management of established patient early childhood age 1 through 4 years,Evaluation and Management
99393,preventive visit established patient age 5 to 11,periodic comprehensive preventive medicine evaluation and management of established patient late childhood age 5 through 11 years,Evaluation and Management
99394,preventive visit established patient age 12 to 17,periodic comprehensive preventive medicine evaluation and management of established patient adolescent age 12 through 17 years,Evaluation and Management
99395,preventive visit established patient age 18 to 39,periodic comprehensive preventive medicine evaluation and management of established patient age 18 through 39 years,Evaluation and Management
99396,preventive visit established patient age 40 to 64,periodic comprehensive preventive medicine evaluation and management of established patient age 40 through 64 years,Evaluation and Management
99397,preventive visit established patient age 65 and older,periodic comprehensive preventive medicine evaluation and management of established patient age 65 years and older,Evaluation and Management
99406,smoking cessation counseling 3 to 10 minutes,smoking and tobacco use cessation counseling visit intermediate greater than 3 minutes up to 10 minutes,Evaluation and Management
99407,smoking cessation counseling greater than 10 minutes,smoking and tobacco use cessation counseling visit intensive greater than 10 minutes,Evaluation and Management
99408,alcohol substance abuse screening 15 to 30 minutes,alcohol and substance abuse structured screening and brief intervention 15 to 30 minutes,Evaluation and Management
99409,alcohol substance abuse screening greater than 30 minutes,alcohol and substance abuse structured screening and brief intervention greater than 30 minutes,Evaluation and Management
99441,telephone evaluation management 5 to 10 minutes,telephone evaluation and management service by physician or qualified health professional 5 to 10 minutes of medical discussion,Evaluation and Management
99442,telephone evaluation management 11 to 20 minutes,telephone evaluation and management service by physician or qualified health professional 11 to 20 minutes of medical discussion,Evaluation and Management
99443,telephone evaluation management 21 to 30 minutes,telephone evaluation and management service by physician or qualified health professional 21 to 30 minutes of medical discussion,Evaluation and Management
99495,transitional care management moderate complexity,transitional care management services with moderate complexity medical decision making within 14 days of discharge including communication and follow up,Evaluation and Management
99496,transitional care management high complexity,transitional care management services with high complexity medical decision making within 7 days of discharge including communication and follow up,Evaluation and Management
99497,advance care planning first 30 minutes,advance care planning including explanation discussion of advance directives by physician first 30 minutes face to face with patient and family,Evaluation and Management
99498,advance care planning each additional 30 minutes,advance care planning including explanation discussion of advance directives each additional 30 minutes,Evaluation and Management
00100,anesthesia for procedures on salivary glands,anesthesia for procedures on salivary glands including biopsy excision and repair of salivary gland structures,Anesthesia
00120,anesthesia for procedures on external ear,anesthesia for procedures on external ear including otoplasty biopsy excision and reconstruction of external ear,Anesthesia
00140,anesthesia for procedures on eye,anesthesia for procedures on eye including lens surgery retinal procedures and extraocular muscle repair,Anesthesia
00142,anesthesia for procedures on lens,anesthesia for procedures on lens including cataract extraction and intraocular lens implantation,Anesthesia
00144,anesthesia for procedures on cornea,anesthesia for procedures on cornea including corneal transplant keratoplasty and pterygium excision,Anesthesia
00160,anesthesia for procedures on nose and sinus,anesthesia for procedures on nose and accessory sinuses including rhinoplasty septoplasty and sinus surgery,Anesthesia
00164,anesthesia for procedures on bony sinus structures,anesthesia for procedures on bony structures of nose and sinuses including radical sinus surgery osteotomy,Anesthesia
00170,anesthesia for intraoral procedures,anesthesia for intraoral procedures including biopsy excision repair of lesions of mouth floor tongue and pharynx,Anesthesia
00172,anesthesia for cleft palate repair,anesthesia for repair of cleft palate including palatoplasty and pharyngeal flap procedures,Anesthesia
00190,anesthesia for procedures on facial bones,anesthesia for procedures on facial bones or skull including reduction of facial fractures and LeFort procedures,Anesthesia
00210,anesthesia for intracranial procedures,anesthesia for intracranial procedures including craniotomy for tumor excision aneurysm repair and vascular malformation,Anesthesia
00300,anesthesia for procedures on head neck and posterior fossa,anesthesia for all procedures on the integumentary system muscles and nerves of head neck and posterior fossa,Anesthesia
00320,anesthesia for procedures on cervical spine,anesthesia for all procedures on cervical spine and cord including laminectomy discectomy and fusion,Anesthesia
00400,anesthesia for procedures on anterior trunk,anesthesia for integumentary system procedures on anterior trunk including breast biopsy mastectomy and chest wall repair,Anesthesia
00402,anesthesia for breast reconstruction,anesthesia for breast reconstruction procedures including tissue expander placement and flap procedures,Anesthesia
00500,anesthesia for esophageal procedures,anesthesia for all procedures on esophagus including esophagoscopy esophagectomy and fundoplication,Anesthesia
00520,anesthesia for closed chest procedures on thorax,anesthesia for closed chest procedures including thoracentesis chest tube placement and mediastinoscopy,Anesthesia
00522,anesthesia for closed chest procedures on mediastinum,anesthesia for procedures on mediastinum including mediastinoscopy biopsy and mediastinal mass excision,Anesthesia
00530,anesthesia for pacemaker insertion,anesthesia for permanent transvenous pacemaker insertion including generator placement and lead positioning,Anesthesia
00540,anesthesia for thoracotomy procedures,anesthesia for thoracotomy procedures not otherwise specified including lung resection decortication and thoracoplasty,Anesthesia
00560,anesthesia for cardiac procedures with bypass,anesthesia for procedures on heart pericardium and great vessels with pump oxygenator including coronary artery bypass,Anesthesia
00600,anesthesia for procedures on cervical spine cord,anesthesia for procedures on cervical spine and spinal cord via anterior approach including discectomy and fusion,Anesthesia
00620,anesthesia for procedures on thoracic spine,anesthesia for procedures on thoracic spine and spinal cord via anterior approach including thoracic discectomy,Anesthesia
00630,anesthesia for procedures on lumbar spine,anesthesia for procedures on lumbar and sacral spine and spinal cord including lumbar laminectomy discectomy and fusion,Anesthesia
00700,anesthesia for procedures on upper anterior abdomen,anesthesia for procedures on upper anterior abdominal wall including hernia repair gastrostomy and laparotomy,Anesthesia
00730,anesthesia for upper gi endoscopy,anesthesia for upper gastrointestinal endoscopic procedures including esophagogastroduodenoscopy with or without biopsy,Anesthesia
00740,anesthesia for upper abdominal procedures,anesthesia for procedures on upper abdomen including cholecystectomy gastrectomy and hepatic procedures,Anesthesia
00790,anesthesia for intraperitoneal procedures upper abdomen,anesthesia for intraperitoneal procedures in upper abdomen including pancreatectomy splenectomy and liver resection,Anesthesia
00800,anesthesia for procedures on lower anterior abdomen,anesthesia for procedures on lower anterior abdominal wall including lower hernia repair and abdominal wall reconstruction,Anesthesia
00840,anesthesia for intraperitoneal procedures lower abdomen,anesthesia for intraperitoneal procedures in lower abdomen including appendectomy colectomy and small bowel resection,Anesthesia
00860,anesthesia for renal procedures,anesthesia for extraperitoneal procedures including renal transplant nephrectomy and adrenalectomy,Anesthesia
10060,incision and drainage of abscess simple,incision and drainage of abscess such as carbuncle suppurative hidradenitis cutaneous or subcutaneous abscess simple or single,Surgery - Integumentary
10061,incision and drainage of abscess complicated,incision and drainage of abscess such as carbuncle suppurative hidradenitis cutaneous or subcutaneous abscess complicated or multiple,Surgery - Integumentary
10080,incision and drainage of pilonidal cyst simple,incision and drainage of pilonidal cyst simple,Surgery - Integumentary
10120,incision and removal of foreign body subcutaneous simple,incision and removal of foreign body from subcutaneous tissue simple,Surgery - Integumentary
10121,incision and removal of foreign body subcutaneous complicated,incision and removal of foreign body from subcutaneous tissue complicated,Surgery - Integumentary
10140,incision and drainage of hematoma seroma or fluid collection,incision and drainage of hematoma seroma or fluid collection from soft tissue,Surgery - Integumentary
10160,puncture aspiration of abscess hematoma bulla or cyst,puncture aspiration of abscess hematoma bulla or cyst including percutaneous drainage,Surgery - Integumentary
11000,debridement of extensive eczematous or infected skin,debridement of extensive eczematous or infected skin up to 10 percent of body surface area,Surgery - Integumentary
11001,debridement of extensive eczematous skin each additional 10 percent,debridement of extensive eczematous or infected skin each additional 10 percent of body surface area,Surgery - Integumentary
11010,debridement including removal of foreign material skin associated with open fracture,debridement including removal of foreign material associated with open fracture or dislocation of skin and subcutaneous tissues,Surgery - Integumentary
11042,debridement subcutaneous tissue first 20 sq cm,debridement of subcutaneous tissue including epidermis dermis and subcutaneous tissue first 20 sq cm or less,Surgery - Integumentary
11043,debridement muscle fascia first 20 sq cm,debridement of muscle and or fascia including epidermis dermis subcutaneous tissue first 20 sq cm or less,Surgery - Integumentary
11044,debridement bone first 20 sq cm,debridement of bone including epidermis dermis subcutaneous tissue muscle and or fascia first 20 sq cm or less,Surgery - Integumentary
11055,paring or cutting of benign hyperkeratotic skin lesion,paring or cutting of benign hyperkeratotic lesion such as corn or callus single lesion,Surgery - Integumentary
11056,paring benign hyperkeratotic lesion 2 to 4 lesions,paring or cutting of benign hyperkeratotic lesion such as corn or callus 2 to 4 lesions,Surgery - Integumentary
11100,skin biopsy single lesion,biopsy of skin subcutaneous tissue and or mucous membrane including simple closure single lesion,Surgery - Integumentary
11101,skin biopsy each additional lesion,biopsy of skin subcutaneous tissue and or mucous membrane each separate additional lesion,Surgery - Integumentary
11200,removal of skin tags up to 15 lesions,removal of skin tags multiple fibrocutaneous tags any area up to and including 15 lesions,Surgery - Integumentary
11300,shave removal of epidermal lesion trunk arms legs 0.5 cm or less,shaving of epidermal or dermal lesion trunk arms or legs lesion diameter 0.5 cm or less,Surgery - Integumentary
11400,excision benign lesion trunk arms legs 0.5 cm or less,excision of benign lesion including margins except skin tag trunk arms or legs lesion diameter 0.5 cm or less,Surgery - Integumentary
11402,excision benign lesion trunk arms legs 1.1 to 2.0 cm,excision of benign lesion including margins trunk arms or legs excised diameter 1.1 to 2.0 cm,Surgery - Integumentary
11440,excision benign lesion face 0.5 cm or less,excision of other benign lesion including margins face ears eyelids nose lips lesion diameter 0.5 cm or less,Surgery - Integumentary
11600,excision malignant lesion trunk arms legs 0.5 cm or less,excision of malignant lesion including margins trunk arms or legs excised diameter 0.5 cm or less,Surgery - Integumentary
11602,excision malignant lesion trunk arms legs 1.1 to 2.0 cm,excision of malignant lesion including margins trunk arms or legs excised diameter 1.1 to 2.0 cm,Surgery - Integumentary
11640,excision malignant lesion face 0.5 cm or less,excision of malignant lesion including margins face ears eyelids nose lips mucous membrane excised diameter 0.5 cm or less,Surgery - Integumentary
11720,debridement of nails any method 1 to 5 nails,debridement of nails by any method 1 to 5 nails including trimming of dystrophic nails,Surgery - Integumentary
11721,debridement of nails any method 6 or more nails,debridement of nails by any method 6 or more nails including trimming of dystrophic nails,Surgery - Integumentary
11730,avulsion of nail plate partial or complete simple single,avulsion of nail plate partial or complete simple single nail,Surgery - Integumentary
11740,evacuation of subungual hematoma,evacuation of subungual hematoma drainage of blood from under fingernail or toenail,Surgery - Integumentary
11750,excision of nail and nail matrix permanent removal,excision of nail and nail matrix partial or complete for permanent removal including chemical or surgical matrixectomy,Surgery - Integumentary
11770,excision of pilonidal cyst or sinus simple,excision of pilonidal cyst or sinus not complicated,Surgery - Integumentary
12001,simple repair superficial wound 2.5 cm or less,simple repair of superficial wounds of scalp neck axillae external genitalia trunk and extremities 2.5 cm or less,Surgery - Integumentary
12002,simple repair superficial wound 2.6 to 7.5 cm,simple repair of superficial wounds of scalp neck axillae external genitalia trunk and extremities 2.6 to 7.5 cm,Surgery - Integumentary
12011,simple repair superficial wound face 2.5 cm or less,simple repair of superficial wounds of face ears eyelids nose lips and or mucous membranes 2.5 cm or less,Surgery - Integumentary
12031,intermediate repair wound 2.5 cm or less,repair intermediate of wounds of scalp axillae trunk and or extremities including layered closure 2.5 cm or less,Surgery - Integumentary
12051,intermediate repair wound face 2.5 cm or less,repair intermediate of wounds of face ears eyelids nose lips and or mucous membranes 2.5 cm or less,Surgery - Integumentary
13100,complex repair wound trunk 1.1 to 2.5 cm,repair complex of trunk wound requiring layered closure scar revision debridement extensive undermining 1.1 to 2.5 cm,Surgery - Integumentary
13131,complex repair wound face 1.1 to 2.5 cm,repair complex of wound of forehead cheeks chin mouth neck axillae genitalia hands and feet 1.1 to 2.5 cm,Surgery - Integumentary
15100,split thickness skin graft trunk arms legs first 100 sq cm,split thickness autograft for wound repair trunk arms legs first 100 sq cm or less or each additional 100 sq cm,Surgery - Integumentary
15120,split thickness skin graft face scalp eyelids first 100 sq cm,split thickness autograft for wound repair face scalp eyelids mouth nose ears first 100 sq cm,Surgery - Integumentary
17000,destruction benign or premalignant lesion first lesion,destruction by any method of benign or premalignant lesion other than skin tags or cutaneous vascular proliferative lesions first lesion,Surgery - Integumentary
17003,destruction benign or premalignant lesion 2 to 14 lesions each,destruction by any method of benign or premalignant lesion second through 14th lesion each additional lesion,Surgery - Integumentary
17110,destruction of flat warts up to 14 lesions,destruction by any method of flat warts molluscum contagiosum or milia up to 14 lesions,Surgery - Integumentary
17111,destruction of flat warts 15 or more lesions,destruction by any method of flat warts molluscum contagiosum or milia 15 or more lesions,Surgery - Integumentary
19000,puncture aspiration of breast cyst,puncture aspiration of cyst of breast including ultrasound guidance when performed,Surgery - Integumentary
19001,puncture aspiration of breast cyst each additional cyst,puncture aspiration of cyst of breast each additional cyst including ultrasound guidance,Surgery - Integumentary
19081,breast biopsy with imaging guidance first lesion,breast biopsy with placement of breast localization device first lesion including stereotactic guidance,Surgery - Integumentary
19083,breast biopsy with ultrasound guidance first lesion,breast biopsy with placement of breast localization device first lesion including ultrasound guidance,Surgery - Integumentary
19120,excision of breast cyst or aberrant tissue,excision of cyst fibroadenoma or other benign or malignant tumor aberrant breast tissue duct lesion,Surgery - Integumentary
19301,mastectomy partial with axillary lymphadenectomy,mastectomy partial including axillary lymphadenectomy for breast cancer treatment,Surgery - Integumentary
19303,mastectomy simple complete,simple complete mastectomy for breast cancer treatment including removal of all breast tissue,Surgery - Integumentary
19318,breast reduction,reduction mammaplasty bilateral breast reduction surgery for symptomatic macromastia,Surgery - Integumentary
19325,breast augmentation with implant,augmentation mammaplasty with prosthetic breast implant,Surgery - Integumentary
19340,immediate breast reconstruction with tissue expander,immediate insertion of breast prosthesis following mastectomy including tissue expander,Surgery - Integumentary
20220,bone biopsy trocar or needle,biopsy of bone using trocar or needle including imaging guidance when performed,Surgery - Musculoskeletal
20225,bone biopsy deep open,biopsy of bone open method requiring deep incision exploration and tissue sampling,Surgery - Musculoskeletal
20240,bone biopsy excisional superficial,bone biopsy excisional of superficial bone such as ilium sternum spinous process ribs,Surgery - Musculoskeletal
20245,bone biopsy excisional deep,bone biopsy excisional of deep bone such as vertebral body femur requiring deep dissection,Surgery - Musculoskeletal
20520,removal of foreign body muscle or tendon sheath simple,removal of foreign body in muscle or tendon sheath simple,Surgery - Musculoskeletal
20525,removal of foreign body muscle or tendon deep complicated,removal of foreign body deep in muscle or tendon sheath complicated including dissection,Surgery - Musculoskeletal
20550,injection single tendon sheath or ligament,injection of single tendon sheath or ligament aponeurosis including corticosteroid for tendinitis treatment,Surgery - Musculoskeletal
20551,injection single tendon origin or insertion,injection of single tendon origin or insertion site with corticosteroid for tendinopathy treatment,Surgery - Musculoskeletal
20552,injection trigger point 1 or 2 muscles,injection of single or multiple trigger points in 1 or 2 muscles including dry needling or anesthetic for myofascial pain,Surgery - Musculoskeletal
20553,injection trigger point 3 or more muscles,injection of single or multiple trigger points in 3 or more muscles including dry needling for myofascial pain syndrome,Surgery - Musculoskeletal
20600,arthrocentesis aspiration injection small joint,arthrocentesis aspiration and or injection of small joint or bursa such as fingers toes without ultrasound guidance,Surgery - Musculoskeletal
20605,arthrocentesis aspiration injection intermediate joint,arthrocentesis aspiration and or injection of intermediate joint or bursa such as temporomandibular acromioclavicular wrist elbow ankle,Surgery - Musculoskeletal
20610,arthrocentesis aspiration injection major joint,arthrocentesis aspiration and or injection of major joint or bursa such as shoulder hip knee subacromial bursa without ultrasound,Surgery - Musculoskeletal
20611,arthrocentesis aspiration injection major joint with ultrasound,arthrocentesis aspiration and or injection of major joint or bursa with ultrasound guidance with permanent recording and reporting,Surgery - Musculoskeletal
20680,removal of implant deep including screws and plates,removal of implant from bone including screws plates rods and nails requiring deep incision,Surgery - Musculoskeletal
20900,bone graft any donor area minor,bone graft obtained from any donor area including cortical or cancellous bone minor or small amount,Surgery - Musculoskeletal
20902,bone graft any donor area major,bone graft obtained from any donor area including cortical cancellous or corticocancellous bone major or large amount including structural grafts,Surgery - Musculoskeletal
23350,injection procedure shoulder arthrography,injection procedure for shoulder arthrography or enhanced imaging of glenohumeral joint,Surgery - Musculoskeletal
23412,repair of rotator cuff chronic,repair of ruptured musculotendinous cuff open of shoulder chronic rotator cuff tear,Surgery - Musculoskeletal
23430,tenodesis of long tendon of biceps,tenodesis of long tendon of biceps at shoulder for bicipital tendinitis or instability,Surgery - Musculoskeletal
23472,total shoulder replacement arthroplasty,arthroplasty glenohumeral joint total shoulder replacement including humeral head and glenoid components,Surgery - Musculoskeletal
23615,open treatment proximal humerus fracture,open treatment of proximal humeral fracture including internal fixation with plates screws or nails,Surgery - Musculoskeletal
24065,biopsy soft tissue upper arm or elbow deep,biopsy of soft tissue of upper arm or elbow area deep subfascial or intramuscular,Surgery - Musculoskeletal
24340,tenodesis of biceps tendon at elbow,tenodesis of biceps tendon at elbow with or without tendon graft for distal biceps rupture,Surgery - Musculoskeletal
24341,repair lateral collateral ligament elbow,repair of lateral collateral ligament of elbow with local tissue augmentation for elbow instability,Surgery - Musculoskeletal
25500,closed treatment of radial shaft fracture,closed treatment of radial shaft fracture without manipulation of distal radius fracture,Surgery - Musculoskeletal
25515,open treatment of radial shaft fracture,open treatment of radial shaft fracture with internal fixation including plate and screw fixation,Surgery - Musculoskeletal
25600,closed treatment of distal radial fracture,closed treatment of distal radial fracture such as colles or smith type without manipulation,Surgery - Musculoskeletal
25607,open treatment of distal radial fracture,open treatment of distal radial fracture with internal fixation including volar plate fixation,Surgery - Musculoskeletal
26010,drainage of finger abscess simple,drainage of finger abscess simple including felon or paronychia incision and drainage,Surgery - Musculoskeletal
26055,tendon sheath incision trigger finger,tendon sheath incision for trigger finger or trigger thumb release of A1 pulley,Surgery - Musculoskeletal
26600,closed treatment of metacarpal fracture,closed treatment of metacarpal fracture single without manipulation,Surgery - Musculoskeletal
26735,open treatment of phalangeal fracture proximal or middle,open treatment of phalangeal shaft fracture proximal or middle phalanx finger or thumb with internal fixation,Surgery - Musculoskeletal
27096,injection procedure sacroiliac joint,injection procedure for sacroiliac joint anesthetic and or steroid with image guidance including fluoroscopy or CT,Surgery - Musculoskeletal
27130,total hip replacement arthroplasty,arthroplasty acetabular and proximal femoral prosthetic replacement total hip arthroplasty with or without autograft or allograft,Surgery - Musculoskeletal
27235,open treatment femoral neck fracture internal fixation,percutaneous skeletal fixation of femoral neck fracture with internal fixation including screws or pins,Surgery - Musculoskeletal
27236,open treatment femoral neck fracture with prosthetic replacement,open treatment of femoral neck fracture with internal fixation or prosthetic replacement hemiarthroplasty,Surgery - Musculoskeletal
27244,open treatment intertrochanteric femur fracture,open treatment of intertrochanteric pertrochanteric or subtrochanteric femoral fracture with intramedullary implant,Surgery - Musculoskeletal
27245,open treatment intertrochanteric fracture with plate,treatment of intertrochanteric fracture with plate and hip screw construct including sliding hip screw,Surgery - Musculoskeletal
27332,arthrotomy knee with excision of semilunar cartilage,arthrotomy with excision of semilunar cartilage meniscectomy of knee including any meniscal shaving,Surgery - Musculoskeletal
27405,repair primary torn ligament of knee,repair of primary torn ligaments of knee including collateral and cruciate ligaments,Surgery - Musculoskeletal
27427,reconstruction ligament knee extra articular,ligamentous reconstruction of knee extra articular augmentation including lateral extra articular tenodesis,Surgery - Musculoskeletal
27447,total knee replacement arthroplasty,arthroplasty of knee condyle and plateau medial and lateral compartments total knee replacement with or without patella resurfacing,Surgery - Musculoskeletal
27570,manipulation of knee joint under general anesthesia,manipulation of knee joint under general anesthesia including application of traction apparatus for adhesions,Surgery - Musculoskeletal
27750,closed treatment tibial shaft fracture,closed treatment of tibial shaft fracture without traction or manipulation,Surgery - Musculoskeletal
27756,open treatment tibial shaft fracture,percutaneous skeletal fixation of tibial shaft fracture with intramedullary nail including locking,Surgery - Musculoskeletal
27786,closed treatment of distal fibular fracture,closed treatment of distal fibular fracture lateral malleolus without manipulation,Surgery - Musculoskeletal
27792,open treatment of distal fibular fracture,open treatment of distal fibular fracture lateral malleolus with internal fixation,Surgery - Musculoskeletal
28285,correction of hammertoe,correction of hammertoe involving interphalangeal joint requiring partial or complete phalangectomy,Surgery - Musculoskeletal
28296,correction of hallux valgus bunion,correction of hallux valgus bunion with metatarsal osteotomy and soft tissue procedures,Surgery - Musculoskeletal
29125,application of short arm splint forearm to hand static,application of short arm splint forearm to hand static immobilization for fracture or sprain,Surgery - Musculoskeletal
29130,application of finger splint static,application of finger splint static for immobilization of finger fracture or mallet finger,Surgery - Musculoskeletal
29515,application of short leg splint calf to foot,application of short leg splint calf to foot static for ankle fracture or sprain immobilization,Surgery - Musculoskeletal
29580,strapping application of unna boot,application of unna boot paste boot for venous stasis ulcer or lower extremity edema treatment,Surgery - Musculoskeletal
29881,arthroscopy knee with meniscectomy medial or lateral,arthroscopy of knee surgical with meniscectomy including any meniscal shaving medial or lateral compartment,Surgery - Musculoskeletal
